DATE,ACTUAL,PREDICT,UPPER,LOWER,ERROR,STD,NERROR,SDUMMY1,SDUMMY2,SDUMMY3,SDUMMY4,SDUMMY5,SDUMMY6,SDUMMY7,SDUMMY8,SDUMMY9,SDUMMY10,SDUMMY11,_LINEAR_,_QUAD_
01JUL1995,8534000,8314733,10842660,5786806,219267,1289782,0.1700,0,0,0,0,0,0,1,0,0,0,0,112,12544
01AUG1995,10135000,10322366,12850293,7794440,-187366,1289782,-0.1453,0,0,0,0,0,0,0,1,0,0,0,113,12769
01SEP1995,8182000,9637353,12165280,7109427,-1455353,1289782,-1.1284,0,0,0,0,0,0,0,0,1,0,0,114,12996
01OCT1995,9052000,9863777,12391704,7335851,-811777,1289782,-0.6294,0,0,0,0,0,0,0,0,0,1,0,115,13225
01NOV1995,10418000,8643200,11171127,6115274,1774800,1289782,1.3760,0,0,0,0,0,0,0,0,0,0,1,116,13456
01DEC1995,11794000,9495373,12023300,6967447,2298627,1289782,1.7822,0,0,0,0,0,0,0,0,0,0,0,117,13689
01JAN1996,13263000,12474164,15002091,9946238,788836,1289782,0.6116,1,0,0,0,0,0,0,0,0,0,0,118,13924
01FEB1996,10313000,9332164,11860090,6804237,980836,1289782,0.7605,0,1,0,0,0,0,0,0,0,0,0,119,14161
01MAR1996,11445000,10956522,13484449,8428595,488478,1289782,0.3787,0,0,1,0,0,0,0,0,0,0,0,120,14400
01APR1996,10960000,9730897,12258824,7202970,1229103,1289782,0.9530,0,0,0,1,0,0,0,0,0,0,0,121,14641
01MAY1996,7460000,7383123,9911050,4855196,76877,1289782,0.0596,0,0,0,0,1,0,0,0,0,0,0,122,14884
01JUN1996,4608000,6891210,9419137,4363283,-2283210,1289782,-1.7702,0,0,0,0,0,1,0,0,0,0,0,123,15129
01JUL1996,6893000,9157712,11685639,6629786,-2264712,1289782,-1.7559,0,0,0,0,0,0,1,0,0,0,0,124,15376
01AUG1996,10118000,11175394,13703321,8647468,-1057394,1289782,-0.8198,0,0,0,0,0,0,0,1,0,0,0,125,15625
01SEP1996,9051000,10500430,13028357,7972503,-1449430,1289782,-1.1238,0,0,0,0,0,0,0,0,1,0,0,126,15876
01OCT1996,9436000,10736902,13264829,8208975,-1300902,1289782,-1.0086,0,0,0,0,0,0,0,0,0,1,0,127,16129
01NOV1996,10307000,9526374,12054300,6998447,780626,1289782,0.6052,0,0,0,0,0,0,0,0,0,0,1,128,16384
01DEC1996,11327000,10388595,12916522,7860668,938405,1289782,0.7276,0,0,0,0,0,0,0,0,0,0,0,129,16641
01JAN1997,12603013,13377434,15905361,10849507,-774421,1289782,-0.6004,1,0,0,0,0,0,0,0,0,0,0,130,16900
01FEB1997,8384613,10245482,12773409,7717555,-1860869,1289782,-1.4428,0,1,0,0,0,0,0,0,0,0,0,131,17161
01MAR1997,12627362,11879889,14407816,9351962,747473,1289782,0.5795,0,0,1,0,0,0,0,0,0,0,0,132,17424
01APR1997,9296622,10664312,13192239,8136385,-1367690,1289782,-1.0604,0,0,0,1,0,0,0,0,0,0,0,133,17689
01MAY1997,7936936,8326586,10854513,5798660,-389650,1289782,-0.3021,0,0,0,0,1,0,0,0,0,0,0,134,17956
01JUN1997,6698641,7844722,10372649,5316795,-1146081,1289782,-0.8886,0,0,0,0,0,1,0,0,0,0,0,135,18225
01JUL1997,10987359,10121273,12649199,7593346,866086,1289782,0.6715,0,0,0,0,0,0,1,0,0,0,0,136,18496
01AUG1997,13223954,12149003,14676930,9621076,1074951,1289782,0.8334,0,0,0,0,0,0,0,1,0,0,0,137,18769
01SEP1997,12139242,11484087,14012014,8956160,655155,1289782,0.5080,0,0,0,0,0,0,0,0,1,0,0,138,19044
01OCT1997,13246477,11730608,14258534,9202681,1515869,1289782,1.1753,0,0,0,0,0,0,0,0,0,1,0,139,19321
01NOV1997,9757839,10530127,13058054,8002201,-772288,1289782,-0.5988,0,0,0,0,0,0,0,0,0,0,1,140,19600
