DATE,ESPECTADORES,t,sin1,cos1,sin2,cos2,sin3,cos3,sin4,cos4,sin5,cos5,cos6
01JAN1996,10425000,145,0.5,0.8660254038,0.8660254038,0.5,1,1.420776E-14,0.8660254038,-0.5,0.5,-0.866025404,-1
01FEB1996,9365000,146,0.8660254038,0.5,0.8660254038,-0.5,1.959806E-14,-1,-0.866025404,-0.5,-0.866025404,0.5,1
01MAR1996,10308000,147,1,8.329455E-15,1.665891E-14,-1,-1,3.433344E-15,-3.33178E-14,1,1,1.322557E-14,-1
01APR1996,8638000,148,0.8660254038,-0.5,-0.866025404,-0.5,-1.95696E-15,1,0.8660254038,-0.5,-0.866025404,-0.5,1
01MAY1996,6582000,149,0.5,-0.866025404,-0.866025404,0.5,1,7.347262E-15,-0.866025404,-0.5,0.5,0.8660254038,-1
01JUN1996,4967000,150,1.371976E-14,-1,-2.74395E-14,1,1.273756E-14,-1,-5.4879E-14,1,-1.66663E-14,-1,1
01JUL1996,7718000,151,-0.5,-0.866025404,0.8660254038,0.5,-1,-1.81279E-14,0.8660254038,-0.5,-0.5,0.8660254038,-1
01AUG1996,8769000,152,-0.866025404,-0.5,0.8660254038,-0.5,-2.35182E-14,1,-0.866025404,-0.5,0.8660254038,-0.5,1
01SEP1996,10527000,153,-1,-4.89921E-15,9.798412E-15,-1,1,4.867638E-16,-1.95968E-14,1,-1,-1.02852E-14,-1
01OCT1996,8486000,154,-0.866025404,0.5,-0.866025404,-0.5,5.877067E-15,-1,0.8660254038,-0.5,0.8660254038,0.5,1
01NOV1996,8033000,155,-0.5,0.8660254038,-0.866025404,0.5,-1,-1.12674E-14,-0.866025404,-0.5,-0.5,-0.866025404,-1
01DEC1996,10566000,156,-1.02895E-14,1,-2.0579E-14,1,-1.66577E-14,1,-4.1158E-14,1,1.960673E-14,1,1
01JAN1997,9089000,157,0.5,0.8660254038,0.8660254038,0.5,1,2.204798E-14,0.8660254038,-0.5,0.5,-0.866025404,-1
01FEB1997,7927000,158,0.8660254038,0.5,0.8660254038,-0.5,-9.83431E-16,-1,-0.866025404,-0.5,-0.866025404,0.5,1
01MAR1997,10113000,159,1,1.567981E-14,3.135962E-14,-1,-1,-4.40687E-15,-6.27192E-14,1,1,7.344786E-15,-1
01APR1997,8410000,160,0.8660254038,-0.5,-0.866025404,-0.5,-9.79717E-15,1,0.8660254038,-0.5,-0.866025404,-0.5,1
01MAY1997,6571000,161,0.5,-0.866025404,-0.866025404,0.5,1,1.518748E-14,-0.866025404,-0.5,0.5,0.8660254038,-1
01JUN1997,5885000,162,6.85926E-15,-1,-1.37185E-14,1,2.057778E-14,-1,-2.7437E-14,1,-2.25471E-14,-1,1
01JUL1997,8534000,163,-0.5,-0.866025404,0.8660254038,0.5,-1,-2.59681E-14,0.8660254038,-0.5,-0.5,0.8660254038,-1
01AUG1997,10135000,164,-0.866025404,-0.5,0.8660254038,-0.5,-3.13584E-14,1,-0.866025404,-0.5,0.8660254038,-0.5,1
01SEP1997,8182000,165,-1,-1.22496E-14,2.449913E-14,-1,1,3.674869E-14,-4.89983E-14,1,-1,-4.4044E-15,-1
01OCT1997,9052000,166,-0.866025404,0.5,-0.866025404,-0.5,-1.47044E-14,-1,0.8660254038,-0.5,0.8660254038,0.5,1
01NOV1997,10418000,167,-0.5,0.8660254038,-0.866025404,0.5,-1,9.314124E-15,-0.866025404,-0.5,-0.5,-0.866025404,-1
01DEC1997,11794000,168,-3.42901E-15,1,-6.85802E-15,1,3.923822E-15,1,-1.3716E-14,1,2.548751E-14,1,1
01JAN1998,13263000,169,0.5,0.8660254038,0.8660254038,0.5,1,1.466481E-15,0.8660254038,-0.5,0.5,-0.866025404,-1
01FEB1998,10313000,170,0.8660254038,0.5,0.8660254038,-0.5,6.856784E-15,-1,-0.866025404,-0.5,-0.866025404,0.5,1
01MAR1998,11445000,171,1,8.819314E-15,1.763863E-14,-1,-1,-1.22471E-14,-3.52773E-14,1,1,1.464005E-15,-1
01APR1998,10960000,172,0.8660254038,-0.5,-0.866025404,-0.5,-1.76374E-14,1,0.8660254038,-0.5,-0.866025404,-0.5,1
01MAY1998,7460000,173,0.5,-0.866025404,-0.866025404,0.5,1,2.302769E-14,-0.866025404,-0.5,0.5,0.8660254038,-1
01JUN1998,4608000,174,1.420962E-14,-1,-2.84192E-14,1,2.8418E-14,-1,-5.68385E-14,1,-2.84279E-14,-1,1
01JUL1998,6893000,175,-0.5,-0.866025404,0.8660254038,0.5,-1,-3.38083E-14,0.8660254038,-0.5,-0.5,0.8660254038,-1
01AUG1998,10118000,176,-0.866025404,-0.5,0.8660254038,-0.5,-3.91986E-14,1,-0.866025404,-0.5,0.8660254038,-0.5,1
01SEP1998,9051000,177,-1,-5.38906E-15,1.077813E-14,-1,1,-1.22545E-14,-2.15563E-14,1,-1,1.476385E-15,-1
01OCT1998,9436000,178,-0.866025404,0.5,-0.866025404,-0.5,-6.86421E-15,-1,0.8660254038,-0.5,0.8660254038,0.5,1
01NOV1998,10307000,179,-0.5,0.8660254038,-0.866025404,0.5,-1,1.473909E-15,-0.866025404,-0.5,-0.5,-0.866025404,-1
01DEC1998,11327000,180,-1.07794E-14,1,-2.15587E-14,1,-3.91639E-15,1,-4.31175E-14,1,3.136829E-14,1,1
01JAN1999,12603013,181,0.5,0.8660254038,0.8660254038,0.5,1,9.306697E-15,0.8660254038,-0.5,0.5,-0.866025404,-1
01FEB1999,8384613,182,0.8660254038,0.5,0.8660254038,-0.5,1.4697E-14,-1,-0.866025404,-0.5,-0.866025404,0.5,1
01MAR1999,12627362,183,1,1.616967E-14,3.233934E-14,-1,-1,-2.00873E-14,-6.46787E-14,1,1,-4.41678E-15,-1
01APR1999,9296622,184,0.8660254038,-0.5,-0.866025404,-0.5,-2.54776E-14,1,0.8660254038,-0.5,-0.866025404,-0.5,1
01MAY1999,7936936,185,0.5,-0.866025404,-0.866025404,0.5,1,3.086791E-14,-0.866025404,-0.5,0.5,0.8660254038,-1
01JUN1999,6698641,186,7.349119E-15,-1,-1.46982E-14,1,3.625821E-14,-1,-2.93965E-14,1,-3.43087E-14,-1,1
01JUL1999,10987359,187,-0.5,-0.866025404,0.8660254038,0.5,-1,1.519491E-14,0.8660254038,-0.5,-0.5,0.8660254038,-1
01AUG1999,13223954,188,-0.866025404,-0.5,0.8660254038,-0.5,9.804602E-15,1,-0.866025404,-0.5,0.8660254038,-0.5,1
01SEP1999,12139242,189,-1,-1.27394E-14,2.547884E-14,-1,1,-4.4143E-15,-5.09577E-14,1,-1,7.357166E-15,-1
01OCT1999,13246477,190,-0.866025404,0.5,-0.866025404,-0.5,9.760036E-16,-1,0.8660254038,-0.5,0.8660254038,0.5,1
