DATE,ESPECTADORES,t,t2,sin1,cos1,sin2,cos2,sin3,cos3,sin4,cos4,sin5,cos5,sin6,cos6
01FEB1991,6211981,110,12100,0.8660254038,0.5,0.8660254038,-0.5,-3.92258E-15,-1,-0.866025404,-0.5,-0.866025404,0.5,7.845167E-15,1
01MAR1991,8103349,111,12321,1,7.594667E-15,1.518933E-14,-1,-1,-1.46772E-15,-3.03787E-14,1,1,-2.59755E-14,2.935438E-15,-1
01APR1991,7161457,112,12544,0.8660254038,-0.5,-0.866025404,-0.5,-6.85802E-15,1,0.8660254038,-0.5,-0.866025404,-0.5,-1.3716E-14,1
01MAY1991,4604493,113,12769,0.5,-0.866025404,-0.866025404,0.5,1,1.224832E-14,-0.866025404,-0.5,0.5,0.8660254038,2.449665E-14,-1
01JUN1991,5701641,114,12996,5.879543E-15,-1,-1.17591E-14,1,1.763863E-14,-1,-2.35182E-14,1,9.760036E-16,-1,-3.52773E-14,1
01JUL1991,5859560,115,13225,-0.5,-0.866025404,0.8660254038,0.5,-1,5.392779E-15,0.8660254038,-0.5,-0.5,0.8660254038,-1.07856E-14,-1
01AUG1991,6883263,116,13456,-0.866025404,-0.5,0.8660254038,-0.5,2.475923E-18,1,-0.866025404,-0.5,0.8660254038,-0.5,4.951845E-18,1
01SEP1991,7238615,117,13689,-1,-4.16442E-15,8.328836E-15,-1,1,5.387827E-15,-1.66577E-14,1,-1,2.89159E-14,1.077565E-14,-1
01OCT1991,9463285,118,13924,-0.866025404,0.5,-0.866025404,-0.5,1.077813E-14,-1,0.8660254038,-0.5,0.8660254038,0.5,-2.15563E-14,1
01NOV1991,7716502,119,14161,-0.5,0.8660254038,-0.866025404,0.5,-1,-1.61684E-14,-0.866025404,-0.5,-0.5,-0.866025404,3.233687E-14,-1
01DEC1991,5414492,120,14400,-9.55472E-15,1,-1.91094E-14,1,-2.15587E-14,1,-3.82189E-14,1,1.964387E-15,1,-4.31175E-14,1
01JAN1992,8886329,121,14641,0.5,0.8660254038,0.8660254038,0.5,1,-1.47267E-15,0.8660254038,-0.5,0.5,-0.866025404,-2.94534E-15,-1
01FEB1992,7115231,122,14884,0.8660254038,0.5,0.8660254038,-0.5,3.917632E-15,-1,-0.866025404,-0.5,-0.866025404,0.5,-7.83526E-15,1
01MAR1992,8282449,123,15129,1,7.839596E-15,1.567919E-14,-1,-1,-9.30793E-15,-3.13584E-14,1,1,-3.18563E-14,1.861587E-14,-1
01APR1992,7319900,124,15376,0.8660254038,-0.5,-0.866025404,-0.5,-1.46982E-14,1,0.8660254038,-0.5,-0.866025404,-0.5,-2.93965E-14,1
01MAY1992,5235447,125,15625,0.5,-0.866025404,-0.866025404,0.5,1,2.008854E-14,-0.866025404,-0.5,0.5,0.8660254038,4.017708E-14,-1
01JUN1992,4030757,126,15876,1.32299E-14,-1,-2.64598E-14,1,-2.94287E-15,-1,-5.29196E-14,1,-4.90478E-15,-1,5.885732E-15,1
01JUL1992,6962523,127,16129,-0.5,-0.866025404,0.8660254038,0.5,-1,-2.44744E-15,0.8660254038,-0.5,-0.5,0.8660254038,4.894873E-15,-1
01AUG1992,7960453,128,16384,-0.866025404,-0.5,0.8660254038,-0.5,-7.83774E-15,1,-0.866025404,-0.5,0.8660254038,-0.5,-1.56755E-14,1
01SEP1992,7880669,129,16641,-1,-4.40935E-15,8.818695E-15,-1,1,1.322804E-14,-1.76374E-14,1,-1,-2.20467E-14,2.645608E-14,-1
01OCT1992,8428762,130,16900,-0.866025404,0.5,-0.866025404,-0.5,1.861835E-14,-1,0.8660254038,-0.5,0.8660254038,0.5,-3.72367E-14,1
01NOV1992,7659724,131,17161,-0.5,0.8660254038,-0.866025404,0.5,-1,4.413061E-15,-0.866025404,-0.5,-0.5,-0.866025404,-8.82612E-15,-1
01DEC1992,9337134,132,17424,-9.79965E-15,1,-1.95993E-14,1,-9.77242E-16,1,-3.91986E-14,1,7.845167E-15,1,-1.95448E-15,1
01JAN1993,9840000,133,17689,0.5,0.8660254038,0.8660254038,0.5,1,6.367544E-15,0.8660254038,-0.5,0.5,-0.866025404,1.273509E-14,-1
01FEB1993,7318000,134,17956,0.8660254038,0.5,0.8660254038,-0.5,1.175785E-14,-1,-0.866025404,-0.5,-0.866025404,0.5,-2.35157E-14,1
01MAR1993,7284000,135,18225,1,9.790985E-16,1.958197E-15,-1,-1,-1.71482E-14,-3.91639E-15,1,1,1.910635E-14,3.42963E-14,-1
01APR1993,8483000,136,18496,0.8660254038,-0.5,-0.866025404,-0.5,5.883256E-15,1,0.8660254038,-0.5,-0.866025404,-0.5,1.176651E-14,1
01MAY1993,5031000,137,18769,0.5,-0.866025404,-0.866025404,0.5,1,-4.92954E-16,-0.866025404,-0.5,0.5,0.8660254038,-9.85907E-16,-1
01JUN1993,4361000,138,19044,6.369401E-15,-1,-1.27388E-14,1,4.897349E-15,-1,-2.54776E-14,1,-1.07856E-14,-1,-9.7947E-15,1
01JUL1993,7522000,139,19321,-0.5,-0.866025404,0.8660254038,0.5,-1,-1.02877E-14,0.8660254038,-0.5,-0.5,0.8660254038,2.05753E-14,-1
01AUG1993,8405000,140,19600,-0.866025404,-0.5,0.8660254038,-0.5,-1.5678E-14,1,-0.866025404,-0.5,0.8660254038,-0.5,-3.13559E-14,1
01SEP1993,9160000,141,19881,-1,-1.17597E-14,2.351941E-14,-1,1,2.106826E-14,-4.70388E-14,1,-1,-1.6166E-14,4.213652E-14,-1
01OCT1993,9222000,142,20164,-0.866025404,0.5,-0.866025404,-0.5,-1.96315E-15,-1,0.8660254038,-0.5,0.8660254038,0.5,3.926298E-15,1
01NOV1993,8674000,143,20449,-0.5,0.8660254038,-0.866025404,0.5,-1,-3.42715E-15,-0.866025404,-0.5,-0.5,-0.866025404,6.854308E-15,-1
01DEC1993,10660000,144,20736,-2.93915E-15,1,-5.8783E-15,1,-8.81746E-15,1,-1.17566E-14,1,1.372595E-14,1,-1.76349E-14,1
01JAN1994,10425000,145,21025,0.5,0.8660254038,0.8660254038,0.5,1,1.420776E-14,0.8660254038,-0.5,0.5,-0.866025404,2.841552E-14,-1
01FEB1994,9365000,146,21316,0.8660254038,0.5,0.8660254038,-0.5,1.959806E-14,-1,-0.866025404,-0.5,-0.866025404,0.5,-3.91961E-14,1
01MAR1994,10308000,147,21609,1,8.329455E-15,1.665891E-14,-1,-1,3.433344E-15,-3.33178E-14,1,1,1.322557E-14,-6.86669E-15,-1
01APR1994,8638000,148,21904,0.8660254038,-0.5,-0.866025404,-0.5,-1.95696E-15,1,0.8660254038,-0.5,-0.866025404,-0.5,-3.91392E-15,1
01MAY1994,6582000,149,22201,0.5,-0.866025404,-0.866025404,0.5,1,7.347262E-15,-0.866025404,-0.5,0.5,0.8660254038,1.469452E-14,-1
01JUN1994,4967000,150,22500,1.371976E-14,-1,-2.74395E-14,1,1.273756E-14,-1,-5.4879E-14,1,-1.66663E-14,-1,-2.54751E-14,1
01JUL1994,7718000,151,22801,-0.5,-0.866025404,0.8660254038,0.5,-1,-1.81279E-14,0.8660254038,-0.5,-0.5,0.8660254038,3.625574E-14,-1
01AUG1994,8769000,152,23104,-0.866025404,-0.5,0.8660254038,-0.5,-2.35182E-14,1,-0.866025404,-0.5,0.8660254038,-0.5,-4.70363E-14,1
01SEP1994,10527000,153,23409,-1,-4.89921E-15,9.798412E-15,-1,1,4.867638E-16,-1.95968E-14,1,-1,-1.02852E-14,9.735276E-16,-1
01OCT1994,8486000,154,23716,-0.866025404,0.5,-0.866025404,-0.5,5.877067E-15,-1,0.8660254038,-0.5,0.8660254038,0.5,-1.17541E-14,1
01NOV1994,8033000,155,24025,-0.5,0.8660254038,-0.866025404,0.5,-1,-1.12674E-14,-0.866025404,-0.5,-0.5,-0.866025404,2.253474E-14,-1
01DEC1994,10566000,156,24336,-1.02895E-14,1,-2.0579E-14,1,-1.66577E-14,1,-4.1158E-14,1,1.960673E-14,1,-3.33153E-14,1
